"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.15220347286248e-108,0.41298732716971,0.05,0.189,9.88937495780308e-105,"TAL-2","Ahnak"
1.41119536727925e-86,0.34495931471855,0.031,0.137,6.48444271264816e-83,"TAL-2","Tbc1d4"
1.58544043454753e-64,1.16526681599272,0.041,0.131,7.2850987967459e-61,"TAL-2","Btg1"
2.50796229342145e-55,0.316062177871133,0.048,0.133,1.15240867382716e-51,"TAL-2","Naca"
1.89988929897716e-54,0.604263868710402,0.087,0.19,8.72999132880005e-51,"TAL-2","Rps8"
4.42688228385977e-54,0.26805389058854,0.075,0.17,2.03415240943356e-50,"TAL-2","Eef2"
2.03003760314197e-52,0.519063919155372,0.081,0.177,9.32802278643737e-49,"TAL-2","Rpl27a"
2.82683784711263e-51,0.527006394423553,0.062,0.149,1.29893199074825e-47,"TAL-2","Rpl5"
5.49311395183173e-51,0.879824738419212,0.067,0.157,2.52408586086668e-47,"TAL-2","Actg1"
3.03144170425132e-48,1.04678600386333,0.05,0.128,1.39294746310348e-44,"TAL-2","B2m"
5.9363550290175e-42,1.34014229243038,0.055,0.128,2.72775513583354e-38,"TAL-2","Rps23"
3.15967308047859e-41,0.512101640931006,0.056,0.129,1.45186978047991e-37,"TAL-2","Rack1"
7.6931040424385e-39,1.04195369496949,0.085,0.168,3.53498130750049e-35,"TAL-2","Rpl28"
2.73744076438957e-38,0.345738380688946,0.049,0.116,1.25785403123701e-34,"TAL-2","Rpl10"
2.7712540853527e-38,1.25611887874474,0.053,0.121,1.27339125221956e-34,"TAL-2","Rps28"
5.1277623807445e-38,1.12116272990134,0.051,0.118,2.3562068139521e-34,"TAL-2","Capns1"
1.40952730350341e-36,0.612470870570782,0.071,0.145,6.47677795959817e-33,"TAL-2","Ndufa4"
8.74751849646678e-35,0.99614136954369,0.062,0.131,4.01948474912648e-31,"TAL-2","S100a11"
2.14863579727611e-31,1.2313335633149,0.046,0.102,9.87298148848374e-28,"TAL-2","Odc1"
2.60830262285473e-31,1.09933757065441,0.065,0.128,1.19851505520175e-27,"TAL-2","Rpl14"
1.44239292556011e-30,0.438454874336567,0.079,0.149,6.62779549294871e-27,"TAL-2","Cox4i1"
2.02797820330185e-30,1.13023555424079,0.078,0.146,9.31855984417202e-27,"TAL-2","Rpl8"
8.19325829483483e-29,0.554114601163366,0.086,0.156,3.7648021864766e-25,"TAL-2","Cox8a"
1.24301995308135e-27,0.51559546899148,0.062,0.119,5.71167668440881e-24,"TAL-2","Cltrn"
1.01557479144298e-26,1.00732590251965,0.073,0.136,4.66656616668051e-23,"TAL-2","Ctsd"
1.03429833449152e-21,1.56782416326088,0.061,0.113,4.75260084698853e-18,"TAL-2","Ndufa13"
2.41481493123662e-21,2.02973944763835,0.071,0.128,1.10960746090323e-17,"TAL-2","S100a6"
4.71552874050855e-20,1.5708825107847,0.054,0.103,2.16678545626368e-16,"TAL-2","Uqcr11"
